"filename", "language", "XML", "Dart", "comment", "blank", "total"
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\android\app\src\debug\AndroidManifest.xml", "XML", 3, 0, 4, 1, 8
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\android\app\src\main\AndroidManifest.xml", "XML", 28, 0, 6, 1, 35
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 6, 0, 0, 1, 7
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\android\app\src\main\res\drawable\launch_background.xml", "XML", 6, 0, 0, 1, 7
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\android\app\src\main\res\values-night-v31\styles.xml", "XML", 12, 0, 7, 1, 20
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\android\app\src\main\res\values-night\styles.xml", "XML", 13, 0, 9, 1, 23
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\android\app\src\main\res\values-v31\styles.xml", "XML", 12, 0, 7, 1, 20
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\android\app\src\main\res\values\styles.xml", "XML", 13, 0, 9, 1, 23
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\android\app\src\profile\AndroidManifest.xml", "XML", 3, 0, 4, 1, 8
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Database\chat_db.dart", "Dart", 0, -167, 0, -21, -188
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Database\email_db.dart", "Dart", 0, -29, 0, -3, -32
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Database\message_db.dart", "Dart", 0, -102, 0, -15, -117
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Database\offer_db.dart", "Dart", 0, -198, 0, -18, -216
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Database\rating_db.dart", "Dart", 0, -38, 0, -10, -48
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Database\study_material.dart", "Dart", 0, 0, 0, -2, -2
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Database\user_db.dart", "Dart", 0, -153, 0, -11, -164
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Models\access.dart", "Dart", 0, -11, 0, -2, -13
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Models\chat.dart", "Dart", 0, -22, 0, -4, -26
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Models\message.dart", "Dart", 0, -15, 0, -2, -17
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Models\offer.dart", "Dart", 0, -20, 0, -3, -23
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Models\question.dart", "Dart", 0, -20, 0, -2, -22
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Models\quiz.dart", "Dart", 0, -15, 0, -2, -17
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Models\rating.dart", "Dart", 0, -11, 0, -2, -13
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Models\study_material.dart", "Dart", 0, -14, 0, -2, -16
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Models\user.dart", "Dart", 0, -21, 0, -2, -23
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Pages\Authorization\login.dart", "Dart", 0, -235, -1, -12, -248
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Pages\Authorization\profile_data.dart", "Dart", 0, -321, 0, -10, -331
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Pages\Authorization\register.dart", "Dart", 0, -244, 0, -8, -252
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Pages\Authorization\restore_password.dart", "Dart", 0, -250, -1, -8, -259
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Pages\Tabs\Chat\chat_preview.dart", "Dart", 0, -209, -1, -12, -222
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Pages\Tabs\Home\edit_offer.dart", "Dart", 0, -231, -1, -8, -240
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Pages\Tabs\Home\new_offer.dart", "Dart", 0, -223, -1, -8, -232
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Pages\Tabs\Home\offers.dart", "Dart", 0, -202, -1, -10, -213
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Pages\Tabs\Profile\edit_profile.dart", "Dart", 0, -164, -1, -10, -175
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Pages\Tabs\Profile\help.dart", "Dart", 0, -72, -1, -5, -78
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Pages\Tabs\Profile\materials.dart", "Dart", 0, -132, 0, -4, -136
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Pages\Tabs\Profile\my_offers.dart", "Dart", 0, -167, -1, -9, -177
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Pages\Tabs\chat.dart", "Dart", 0, -72, 0, -7, -79
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Pages\Tabs\home.dart", "Dart", 0, -181, -1, -7, -189
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Pages\Tabs\profile.dart", "Dart", 0, -178, 0, -6, -184
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Pages\menu.dart", "Dart", 0, -75, -1, -6, -82
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Utils\functions.dart", "Dart", 0, -171, 0, -31, -202
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Utils\global_vars.dart", "Dart", 0, -12, 0, -4, -16
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Widgets\button_widgets.dart", "Dart", 0, -231, 0, -7, -238
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Widgets\chat_widgets.dart", "Dart", 0, -300, -1, -10, -311
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Widgets\form_widgets.dart", "Dart", 0, -472, 0, -12, -484
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Widgets\immutable_widgets.dart", "Dart", 0, -80, -1, -8, -89
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Widgets\offer_widgets.dart", "Dart", 0, -716, 0, -14, -730
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Widgets\profile_widgets.dart", "Dart", 0, -258, -1, -7, -266
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Widgets\rating_widgets.dart", "Dart", 0, -70, 0, -7, -77
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\main.dart", "Dart", 0, -37, 0, -5, -42
"Total", "-", 96, -6139, 32, -327, -6338
