"filename", "language", "XML", "comment", "blank", "total"
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\android\app\src\debug\AndroidManifest.xml", "XML", 3, 4, 1, 8
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\android\app\src\main\AndroidManifest.xml", "XML", 28, 6, 1, 35
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 6, 0, 1, 7
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\android\app\src\main\res\drawable\launch_background.xml", "XML", 6, 0, 1, 7
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\android\app\src\main\res\values-night-v31\styles.xml", "XML", 12, 7, 1, 20
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\android\app\src\main\res\values-night\styles.xml", "XML", 13, 9, 1, 23
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\android\app\src\main\res\values-v31\styles.xml", "XML", 12, 7, 1, 20
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\android\app\src\main\res\values\styles.xml", "XML", 13, 9, 1, 23
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\android\app\src\profile\AndroidManifest.xml", "XML", 3, 4, 1, 8
"Total", "-", 96, 46, 9, 151
