"filename", "language", "Dart", "XML", "comment", "blank", "total"
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\android\app\src\debug\AndroidManifest.xml", "XML", 0, -3, -4, -1, -8
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\android\app\src\main\AndroidManifest.xml", "XML", 0, -28, -6, -1, -35
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, -6, 0, -1, -7
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, -6, 0, -1, -7
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\android\app\src\main\res\values-night-v31\styles.xml", "XML", 0, -12, -7, -1, -20
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\android\app\src\main\res\values-night\styles.xml", "XML", 0, -13, -9, -1, -23
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\android\app\src\main\res\values-v31\styles.xml", "XML", 0, -12, -7, -1, -20
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\android\app\src\main\res\values\styles.xml", "XML", 0, -13, -9, -1, -23
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\android\app\src\profile\AndroidManifest.xml", "XML", 0, -3, -4, -1, -8
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Models\access.dart", "Dart", 11, 0, 0, 2, 13
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Models\chat.dart", "Dart", 22, 0, 0, 4, 26
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Models\message.dart", "Dart", 15, 0, 0, 2, 17
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Models\offer.dart", "Dart", 20, 0, 0, 3, 23
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Models\question.dart", "Dart", 20, 0, 0, 2, 22
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Models\quiz.dart", "Dart", 15, 0, 0, 2, 17
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Models\rating.dart", "Dart", 11, 0, 0, 2, 13
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Models\study_material.dart", "Dart", 14, 0, 0, 2, 16
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Models\user.dart", "Dart", 21, 0, 0, 2, 23
"Total", "-", 149, -96, -46, 12, 19
