"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Database\access_db.dart", "Dart", 114, 0, 28, 142
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Database\chat_db.dart", "Dart", 167, 0, 21, 188
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Database\email_db.dart", "Dart", 29, 0, 3, 32
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Database\message_db.dart", "Dart", 102, 0, 15, 117
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Database\offer_db.dart", "Dart", 198, 0, 18, 216
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Database\question_db.dart", "Dart", 94, 0, 18, 112
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Database\quiz_db.dart", "Dart", 81, 0, 12, 93
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Database\rating_db.dart", "Dart", 38, 0, 10, 48
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Database\study_materials_db.dart", "Dart", 113, 0, 19, 132
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Database\user_db.dart", "Dart", 153, 0, 11, 164
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Models\access.dart", "Dart", 12, 0, 3, 15
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Models\chat.dart", "Dart", 22, 0, 4, 26
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Models\message.dart", "Dart", 15, 0, 2, 17
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Models\offer.dart", "Dart", 20, 0, 3, 23
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Models\question.dart", "Dart", 20, 0, 2, 22
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Models\quiz.dart", "Dart", 13, 0, 2, 15
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Models\rating.dart", "Dart", 11, 0, 2, 13
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Models\study_material.dart", "Dart", 13, 0, 3, 16
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Models\user.dart", "Dart", 21, 0, 2, 23
"c:\Users\Lenovo\Desktop\Polsl\Inzynierka\FE\individual\lib\Pages\Authorization\login.dart", "Dart", 235, 1, 12, 248
